XDIP YDIP ZDIP RDIP
-5.57856929 0.192118536 -5.98445131 8.18358127
6.80447713 1.898055 -1.2211273 7.16900785
5.95542833 3.05875899 -3.3661596 7.49360818
6.05709464 2.39585064 -3.33826226 7.3193231
-1.07723611 0.711832803 5.79114747 5.93334076
0.206927062 1.02162736 6.77514157 6.85485847
-3.81497814 3.56125023 5.14492563 7.32849379
-5.78125087 2.9226739 -1.92738651 6.75867614
-5.65277256 -0.959847938 -1.94401651 6.05428327
-6.59683307 2.00555348 -3.49348846 7.72948335
1.32334904 -2.37763592 7.61240793 8.08413012
-7.21474576 2.88925537 -0.33317652 7.77890478
1.71429421 -5.81519945 3.9501063 7.23593042
-2.89068719 0.334345089 5.02935916 5.81053462
4.21687756 2.94144431 0.442512919 5.1604233
2.70702265 -3.77364165 6.48443298 7.97597731
-7.40388906 2.00774492 2.06574043 7.94455137
6.66546717 -3.05559501 -1.0584537 7.40847067
-5.77228401 1.80841249 -5.25994746 8.01602556
-0.324939059 -5.94163844 -2.09048723 6.30704286
5.07752214 -1.53101616 4.46631911 6.93348743
-6.88700666 2.88275158 -3.57539206 8.27795541
-3.46664729 -3.37594854 4.76850712 6.79362437
-7.46306732 1.53583866 -0.535679496 7.63826726
-0.441486092 -7.26849891 -3.01549706 7.88157401
0.161259268 1.16820275 -7.55926571 7.65069933
-4.53661146 5.8647596 1.24692598 7.51871486
-1.03489339 0.74238418 -6.44475795 6.56940207
-0.837450216 7.12874152 2.2044597 7.50865641
8.2593979 1.03307279 1.28442117 8.42226993
-3.93824192 5.56845248 3.01291072 7.45620838
-4.62683556 2.58978068 2.75571461 5.97566183
-2.7153336 -2.85366664 -6.51252571 7.61113927
-6.46988711 -2.81224975 3.38330279 7.82399678
3.76862548 -6.15835843 1.23526922 7.32487588
4.64390603 -4.84059727 -0.967352852 6.77739011
1.41336012 6.14041149 1.32270321 6.43830598
4.59596434 -5.26809773 2.69206744 7.49152648
-5.55646087 3.90429039 2.23617787 7.14970156
4.02243313 4.52612657 5.57067342 8.22789113
-5.71218458 -3.33957809 -2.5065898 7.07565028
3.9542049 1.48067686 6.1596897 7.46792592
-6.7446389 2.30676462 2.22339601 7.46691414
-2.1067934 -5.07961601 -3.40014472 6.46545137
-6.38872061 -2.00870681 0.956762825 6.76506091
-1.07718003 1.00580598 -7.12533155 7.2761468
2.89478869 6.50052891 -3.06561047 7.74820271
0.363545488 -3.05086211 -6.63847808 7.31500623
4.77148206 -2.53200231 -3.95066689 6.69222277
1.10515434 7.03285029 3.24231939 7.82272231
-2.06880811 0.990016802 -6.95928298 7.3274634
-5.10988673 -1.98067102 4.22368354 6.91906805
5.50437511 4.16013642 -2.62331404 7.38150776
-5.43206456 4.23228885 -1.65421886 7.08209251
-8.00924429 -0.989197856 0.203748165 8.07267117
0.765554143 -1.45900455 6.92012121 7.11356767
-4.0761563 1.67149386 -5.96799421 7.41794424
-1.60599696 2.89550956 -5.66339164 6.5602749
-1.28173706 -6.93045365 -1.89495644 7.29828045
1.97112899 3.53557567 4.45576441 6.0199237
0.236093179 1.40623399 7.16901511 7.30944674
-4.7574472 -4.79198906 2.71521241 7.2779696
4.32683152 -5.25824832 -0.922723085 6.87183121
5.86561035 1.77525231 -0.165210007 6.13059539
5.23139082 -3.18159545 -3.92260823 7.27164732
3.84641924 6.18643508 -2.82011327 7.8115273
5.28112751 0.563754535 -3.11082045 6.15510608
-0.423849669 6.09195798 -5.73016799 8.37415224
4.25248649 -1.2185704 -5.28776063 6.89412559
-1.93587683 0.617586325 -6.41593664 6.73002785
-1.8912598 -1.47353082 6.0107521 6.47126708
-6.30785857 -2.81556903 -1.54537999 7.07846792
4.56600574 3.29920764 3.51775306 6.64136779
-6.43874323 3.08690345 -2.48683321 7.56113263
3.57744252 -5.57773189 -1.7181467 6.84552526
-0.855504693 -3.34268578 5.36644236 6.37997963
-5.56395644 3.50258652 -1.34394702 6.71058247
-4.441076 -1.5299557 -4.85165199 6.75295842
4.87752254 4.42782225 -1.84023712 6.83975941
6.18204964 4.51457866 -1.99072745 7.90962414
6.31442951 2.7288027 -2.81439399 7.4323077
-1.43494249 1.94014252 6.72479606 7.144655
0.127495907 1.83700647 6.72381348 6.97140701
-3.51713349 1.78565274 6.0090563 7.18801372
-4.126719 2.51638886 -1.6889984 5.12003303
